Species,burrow,keel,reference,COI,COIII,12S,16S,28S,Rhodopsin,Pax-6,cytb,notes,16s,12a,COIII,Pax-6,cytb
Macrotritopus defilippi,sub-surface burrowing,absent,Bennice et al,MW125082,,,MG010488,,MN946384,,GQ153825,,,,,,
Megaleledone setebos,unknown,absent,Queiros et al,GU073581,,EF102216,AF299269,,EF102114,EU071420,,,,,,,
Muusoctopus eureka,unknown,absent,Gleandale et al 2010,HM572168,HM572190,FJ882060,HM572154,,HM572221,,FJ603516,,,,,,
Muusoctopus johnsonianus,non-burrowing,absent,"NOAA Okeanos Explorer, Dive 02, Mexico 2018",HM572172,HM572197,HM572149,HM572162,,EF016316,,FJ603517,"https://oceanexplorer.noaa.gov/okeanos/explorations/ex1803/dailyupdates/media/video/dive02-kraken/welcome.html, sucker cleaning, not burying",,,,,
Muusoctopus leioderma,sub-surface burrowing,present,Onthank,,MH363736,,,,,,MH363739,,,,,,
Muusoctopus oregonensis,unknown,absent,Voss and Pearcy,HM572180,FJ603538,FJ603545,FJ603543,,GQ226016,,FJ603518,,,,,,
Muusoctopus tangaroa,unknown,absent,O'Shea 1999,,,,,,,,,,,,,,
Muusoctopus thielei,unknown,absent,,HM572185,HM572198,FJ428005,FJ428009,,,,,Literally nothing,,,,,
Muusoctopus yaquinae,unknown,absent,Voss and Pearcy,HM572182,FJ603532,FJ603550,FJ603539,AH012195,GQ226017,,FJ603519,,,,,,
Octopus aegina,unknown,absent,Norman 2003,,,,,,,,,,,,,,
Octopus americanus,non-burrowing,absent,Avendeno et al,,,,,,MT035861,,,,,,,,
Octopus bimaculatus,non-burrowing,absent,Norman 2003,KY985089,KT335840,,KY985163,,KT335846,,,,,,,,
Octopus bimaculoides,non-burrowing,absent,Norman 2003,MN180721,KF225012,AY545086,KY985118,XM_014912357,XM_014915110,AY545148,MG999670,,,,,,
Octopus bocki,non-burrowing,absent,Mather 2022,,,,AJ311112,,,,,inking primary defense,,,,,
Octopus briareus,non-burrowing,absent,Butler MJ,MG778066,,,,,MG778104,,,,,,,,
Octopus californicus,non-burrowing,absent,Jorgenson 2009,AF377968,X83102,HM572142,AJ390322,,HM572214,,HM572209,,,,,,
Octopus campbelli,unknown,absent,O' Shea 1999,,,,,,,,,,,,,,
Octopus cyanea,burying,absent,Roper 1988,AB430534,X97955,AB191129,AB191115,AJ310257,,,AJ628184,,,,,,
Octopus fitchi,unknown,absent,Magallón‑Gayón,KT335832,KT335844,,KT335838,,KT335850,,,,,,,,
Octopus fusiformis,unknown,unknown,"Norman and Nu, dont know shit bout this one",JX456272,,,JX456261,,,,,,,,,,
Octopus hongkongensis,unknown,absent,Gleadall et al,AB430537,AB573220,AB302175,AB302174,,,,,,,,,,
Octopus hubbsorum,unknown,absent,,MN745424,KF225007,,KY985190,,,,,,,,,,
Octopus hummelincki,non-burrowing,absent,Burgess,MG778037,MH662558,,MG010524,,MG778092,,,,,,,,
Octopus huttoni,unknown,absent,O' Shea 1999,,,,,,,,,,,,,,
Octopus incella,non-burrowing,absent,"Kaneko, intertidal species",AB430542,AB573225,,,,,,,,,,,,
Octopus jollyorum,non-burrowing,absent,"Reid and Wilson, intertidal species",KU525758,,,,,,,,,,,,,
Octopus joubini,non-burrowing,absent,"Forsythe and Toll, intertidal species",AY377732,,,,AY377698,,,,,,,,,
Octopus maya,unknown,absent,Voss and Ramirez,MH293049,KX219650,,FJ751763,,MN946392,,FJ360557,,,,,,
Octopus membranaceus,unknown,absent,"Huffard and Hochberg, J Guerrero-Kommritz",,,,,,,,,,,,,,
Octopus mercatoris,non-burrowing,absent,"Forsythe and Toll, intertidal (Octopus joubini complex)",,,,,,,,,,,,,,
Octopus mernoo,unknown,present,O' Shea 1999,,,,,,,,,,,,,,
Octopus mimus,unknown,absent," Plácido 2002, ",MN180702,KT335842,,KT362707,,KT335848,,MG999673,,,,,,
Octopus nanhaiensis,unknown,unknown,"Voss and Sweeney, nothing known",HQ846121,,,HQ846068,,,,,,,,,,
Octopus oculifer,unknown,absent,Valdez-Cibrian,MN259099,MN259105,,,,,,AJ628198,,,,,,
Octopus oliveri,unknown,absent,O' Shea 1999,KP164809,AB573226,,GQ900712,,,,,,,,,,
Octopus oshimai,unknown,unknown,Voss and Sweeney,JX456268,,,JX456257,,,,,,,,,,
Octopus pallidus,non-burrowing,absent,Norman and Reid,KP693817,AJ628236,,AJ252754,,,,AJ628199,,,,,,
Octopus parvus,unknown,unknown,Yamate,AB191271,AB573216,AB191120,AB191106,,,,,,,,,,
Octopus rubescens,non-burrowing,absent,Onthank,HM431980,X83101,AY545084,AJ252755,,AY545170,AY545146,,,,,,,
Octopus taganga,non-burrowing,absent,"Guerrero and Camelo, rocky bottoms",MG778065,,,MF040831,,MG778101,,,,,,,,
Octopus tankahkeei,unknown,unknown,,JX456264,,,JX456253,,,,,,,,,,
Octopus tayrona,non-burrowing,absent,"Guerrero and Camelo, rocky bottoms",MG778038,,,,,MG778078,,,,,,,,
Octopus tetricus,non-burrowing,absent,Norman and Reid 2000,MH289811,AJ628238,KJ605215,KJ605228,,,,AJ628200,,,,,,
Octopus variabilis,unknown,unknown,,MH542438,,,EU234591,,,,FJ800374,,,,,,
Octopus veligero,unknown,unknown,,,,,,,,,,,,,,,
Octopus vulgaris,non-burrowing,absent,Norman 2003,MN977137,KY264784,HM104240,MG010513,MW800668,MN946395,HM104274,EF423015,juveniles dig,,,,,
Octopus wolfi,unknown,absent,Norman and Sweeney 1997,AB430545,AB573227,,AJ311111,,,,,,,,,,
Ocythoe tuberculata,non-burrowing,absent,"TONMO, Roper and Sweeney",KY947106,GU288524,GU288528,GU288520,AY557553,,,,pelagic,,,,,
Opisthoteuthis borealis,unknown,absent,Collins,,,,,,,,,"not known to burrow, unlikely",,,,,
Opisthoteuthis depressa,unknown,absent,Ikeda,AB860128,,AB191131,AB191117,,,,,"not known to burrow, unlikely",,,,,
Pareledone aequipapillae,unknown,present,"Allcock, ",GQ843843,,EF102221,EF102201,,EF102119,EU071409,,,,,,,
Pareledone albimaculata,unknown,present,"Allcock, ",GQ843882,,EF102223,EF102202,,EF102121,EU071410,,anterior keel,,,,,
Pareledone aurata,unknown,present,"Allcock, ",GQ843847,,EF102219,EF102198,,EF102117,EU071407,,,,,,,
Pareledone charcoti,unknown,present,"Allcock, ",AF377971,,EF102217,AF299267,,EF102115,EU071408,,anterior keel,,,,,
Pareledone cornuta,unknown,absent,"Allcock, ",GQ843835,,EF102227,EF102206,,EF102125,EU071411,,,,,,,
Pareledone felix,unknown,present,Allcock et al.,GQ844119,,EF102225,EF102204,,EF102123,,,,,,,,
Pareledone panchroma,unknown,absent,"Allcock, ",GQ843885,,EF102235,EF102214,,EF102133,EU071413,,,,,,,
Pareledone serperastrata,unknown,present,"Allcock, ",GQ844131,,EF102229,EF102208,,EF102127,EU071412,,,,,,,
Pareledone subtilis,unknown,present,,GQ843972,,EF102231,EF102210,,EF102129,EU071414,,,,,,,
Pareledone turqueti,unknown,absent,Daly and Rodhouse,GU073470,,EF102233,AF299270,,AY545176,EU071415,MG999675,lacks the defined border around the mantle edge?,,,,,
Paroctopus digueti,non-burrowing,absent,"Voight, Stoskopf",KT335833,KT335845,,KT335839,,KT335851,,,"lives in gastropod shells, in sand",,,,,
Pinnoctopus cordiformis,sub-surface burrowing,present,"Norman/Hochberg 2005, Carrasco 2002",,,,MG999658,,,,MG999676,"Weird flange in place of keel?, Conflict in O'Shea 1999. P.C O'Shea confirms burrowing",,,,,
Stauroteuthis gilchristi,unknown,absent,Collins and Henrique,,,AY545078,AF487291,,EU086519,AY545140,,,,,,,
Thaumeledone zeiss,unknown,absent,"O'Shea 1999, Allock",,,,MG999660,,,,MG999679,,,,,,
Thaumoctopus mimicus,sub-surface burrowing,absent,Nabhitabhata 2007,MK410934,,,GQ900725,,,,,,,,,,
Tremoctopus gracilis,non-burrowing,absent,"Eydoux, Agus",MH379648,,,,,,,,mesopelgagic,,,,,
Tremoctopus robsoni,non-burrowing,absent,Agus,MK186001,,,,,,,,mesopelgagic,,,,,
Tremoctopus violaceus,non-burrowing,absent,Agus,AF377978,GU288522,AY545081,AJ252767,,AY545167,AY545143,,mesopelgagic,,,,,
Vitreledonella richardi,non-burrowing,absent,Sajikumar,AF000072,,AY545092,AY545112,,AY545178,AY545154,,"pelagic, glass octopus, probably missing, no mention",,,,,
Vulcanoctopus hydrothermalis,non-burrowing,absent,"Gonzalez, rocha",HM572181,FJ603533,HM572143,FJ603544,,HM572215,HM104275,,"""hides in cracks in substrata"" but not really burrowing...hydrothermal vents",,,,,
Wunderpus photogenicus,sub-surface burrowing,absent,"Courage 2014, Hochberg 2006",,,,GQ900723,,,,,,,,,,
Octopus berrima,burying,present,Norman and Reid 2000,,AJ628218,AY545082,LC020604,,AY545168,AY545144,AJ628182,"Notable, has been seen to bury while similar species without keel, O. padillus, is not",,,,,
Octopus bunurong,burying,present,Norman and Reid 2000,,,,,,,,,,,,,,
Octopus kaurna,burying,absent,Norman and Reid 2000,,AJ628227,AY545083,AY545106,,AY545169,AY545145,,,,,,,
Benthoctopus sibricus,unknown,present,Jorgenson 2009,,,,,,,,,,,,,,
Scaeurgus jumeau,unknown,present,,,,,,,,,,,,,,,
Scaeurgus unicirrhus,unknown,present,Hanlon 1985,HM104263,AJ012129,HM104242,MG010525,,HM104298,,,,,,,,
Octopus australis,sub-surface burrowing,present,Norman and Reid 2000,,AJ628217,,KR153532,,,,AJ628181,,,,,,
Galeoctopus lateralis,unknown,present,"Norman, Boucher, and Hochberg ",,,,,,,,,,,,,,
Robsonella fontaniana,burying,present,ibanez et al,,KT314262,,KT314287,,,,MG999677,,,,,,
Macrotritopus beatrixi,unknown,unknown,P.C Jürgen Guerrero <froekania20@gmail.com>,,,,,,,,,,,,,,
Euaxoctopus genus,unknown,unknown,P.C Jürgen Guerrero <froekania20@gmail.com>,,,,,,,,,,,,,,
